Date Reported,Case Number,Classification,Description,Status,Date Occurred,Time Data,Address,Building
09/12/2019, 2019-05901,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Active,09/11/2019, 15:31 - 09/11/2019  15:31, 3730 WALNUT ST,HUNTSMAN HALL
09/13/2019, 2019-05924, THEFT FROM VEHICLE,"THEFT FROM VEHICLE NON ACCESSORY, UNDER $50.00",Inactive,09/12/2019, 19:30 - 09/13/2019  8:00,51 N 39TH ST,PRESBYTERIAN HOSPITAL
09/05/2019, 2019-05926,FRAUD,EMBEZZLEMENT EMBEZZLEMENT, Arrest,07/30/2019,22:30 -, COSI,
09/05/2019, 2019-05927,FRAUD,EMBEZZLEMENT EMBEZZLEMENT, Arrest,08/04/2019,22:30 -, COSI,
09/13/2019, 2019-05928,VANDALISM,VANDALISM/CRIMINAL MISCHIEF PRI PROP UNDER 500,Arrest,09/12/2019,0:01-09/12/2019, 120 S 30TH ST, HORIZON HOUSE
09/13/2019, 2019-05934,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 BICYCLE, Active,09/13/2019,12:34 -,HUNTSMAN HALL,
09/14/2019, 2019-05963,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Arrest,09/12/2019,0:01-09/12/2019, 3417 SPRUCE ST,HOUSTON HALL
09/14/2019, 2019-05977,VANDALISM,GRAFFITI/VANDALISM UNDER $500, Inactive,09/14/2019,0:00-09/14/2019, 3100 WALNUT ST,PENN PARK
09/14/2019, 2019-05982,FRAUD,FRAUD CREDIT CARDS,Active,09/14/2019,0:00-09/14/2019,2929 WALNUT ST,FMC TOWER
09/15/2019, 2019-06004,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,09/14/2019,0:00-09/14/2019, 211 S 42ND ST, 211 S 42
09/16/2019, 2019-06014,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Active,09/14/2019,0:00-09/14/2019,249 41,41
09/16/2019, 2019-06017, OTHER OFFENSE, OTHER OFFENSES DEFIANT TRESPASS, Arrest,09/14/2019,0:00-09/14/2019, 3600 CHESTNUT ST,SANSOM EAST (FORMERLY GRAD
09/15/2019, 2019-06018, AGGRAVATED ASSAULT,AGR ASSAULT BY KNIFE OR CUTTING INSTRUMENT,Arrest,09/14/2019,0:00-09/14/2019, 3100 LUDLOW ST,3100 BLOCK OF LUDLOW
09/15/2019, 2019-06019, ASSAULT/DATING,DOM ASSAULT/DATING VIOLENCE, Active,09/14/2019,0:00-09/14/2019,3700 SPRUCE ST,3700 BLOCK OF SPRUCE
09/16/2019, 2019-06025,FRAUD,FRAUD FALSE PRETENSE,Inactive,09/11/2019,0:00 -,THE HUB,
09/16/2019, 2019-06027,FRAUD,FRAUD OTHER FRAUDS,Inactive,09/16/2019, 15:25 - 09/16/2019  15:36, 3408 SANSOM ST,NEW DECK TAVERN
09/16/2019, 2019-06028,FRAUD,FRAUD CREDIT CARDS,Inactive,09/16/2019,11:26 - 09/16/2019 11:40,4125 Chestnut,
09/17/2019, 2019-06043,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 RETAIL, Arrest,09/14/2019,0:00-09/14/2019,3925 WALNUT ST,CVS
09/17/2019, 2019-06046,FRAUD,FRAUD FALSE PRETENSE, Inactive,09/17/2019,12:35 - 09/17/2019 12:57, PINE,
09/17/2019, 2019-06057, AUTO THEFT,"AUTO THEFT STOLEN TRUCKS, BUSES, ETC", Inactive,09/17/2019,12:55-09/17/2019, 3205 WALNUT ST,SINGH NANOTECHNOLOGY CENTE
09/18/2019, 2019-06087,FRAUD,FRAUD OTHER FRAUDS, Arrest,09/18/2019, 16:20 - 09/18/2019  17:00, 3402 SANSOM ST,Baby Blues BBQ
09/18/2019, 2019-06093,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Arrest,09/18/2019, 18:48 - 09/18/2019  19:18, 3720 WALNUT ST,PSYCHOLOGY LABS
09/18/2019, 2019-06096,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Active,09/18/2019, 17:20 - 09/18/2019  19:30, 3417 SPRUCE ST,HOUSTON HALL
09/19/2019, 2019-06110, OTHER OFFENSE," OTHER OFFENSES ORDINANCES, VIOLATIONS OF", Arrest,09/17/2019,12:55-09/17/2019, 3400 SPRUCE ST,HOSPITAL OF THE UNIV. OF PENN
09/19/2019, 2019-06111,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Inactive,09/17/2019,12:55-09/17/2019,3924 DELANCEY, delancey
09/19/2019, 2019-06113,ASSAULT,OTHER ASSAULTS ASSAULT, Active,09/19/2019, 14:20 - 09/19/2019  15:50, 3400 SPRUCE ST,HOSPITAL OF THE UNIV. OF PENN
09/19/2019, 2019-06118,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Active,09/18/2019, 16:00 - 09/18/2019  18:00, 215 S 33RD ST, PALESTRA
09/19/2019, 2019-06119,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 RETAIL, Arrest,09/17/2019,12:55-09/17/2019,3925 WALNUT ST,CVS
09/20/2019, 2019-06145,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,09/18/2019,10:00 -,WEB DUBOIS COLLEGE HOUSE,
09/21/2019, 2019-06180,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Active,09/21/2019, 15:50 - 09/21/2019  16:30, 3420 WALNUT ST,VAN PELT LIBRARY
09/23/2019, 2019-06221,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,09/20/2019, 17:00 - 09/23/2019  9:27,3800 SPRUCE ST,VETERINARY SCHOOL
09/23/2019, 2019-06227,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 ALL OTHERS, Inactive,09/17/2019,12:55-09/17/2019,3624 MARKET ST,COUNSELING SERVICES
09/23/2019, 2019-06233,SEX OFFENSE,SEX OFFENSES PUBLIC INDECENCY,Active,09/23/2019, 16:24 - 09/23/2019  16:30, 4000 BALTIMORE AVE,"40/BALTIMORE, INTERSECTION OF"
09/23/2019, 2019-06235,ROBBERY,ROBBERY HIGHWAY NO WEAPON,Active,09/23/2019, 16:40 - 09/23/2019  16:54, 4100 LOCUST ST,"41/LOCUST, INTERSECTION OF"
09/23/2019, 2019-06241, BURGLARY,BURGLARY RES/NIGHT/FORCE ENTRY 6PM - 6AM PRI RES, Inactive,09/23/2019,22:26 - 09/23/2019 22:49,SPRUCE,
09/24/2019, 2019-06254,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 ALL OTHERS, Inactive,09/24/2019,10:30 - 09/24/2019 12:00,SCIENCE CENTER 3701,
09/24/2019, 2019-06255,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Unfounded,09/19/2019, 15:00 - 09/23/2019  7:30,3400 CIVIC CENTER BLVD,PERELMAN CENTER FOR ADVANC
09/24/2019, 2019-06256,RETAIL THEFT, THEFT UNDER $50 INC ATTEMPTS RETAIL THEFT,Active,09/24/2019,11:24 - 09/24/2019 11:25,CVS,
09/24/2019, 2019-06258,ASSAULT DOMESTIC, ASSAULT-DOMESTIC, Active,09/24/2019, 14:08 - 09/24/2019  14:10, 3730 SPRUCE ST,UPS STORE
09/24/2019, 2019-06262,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Inactive,09/20/2019,11:30-09/21/2019,3330 WALNUT ST,LEVINE HALL
09/24/2019, 2019-06266, OTHER OFFENSE, OTHER OFFENSES DEFIANT TRESPASS,Arrest,09/24/2019, 18:25 - 09/24/2019  18:37, 3400 SPRUCE ST,HOSPITAL OF THE UNIV. OF PENN
09/25/2019, 2019-06294,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,09/25/2019, 20:03 - 09/25/2019  20:03, 2929 WALNUT ST,FMC TOWER
09/26/2019, 2019-06307,THEFT OTHER,THEFT UNDER $50 INC ATTEMPTS ALL OTHERS, Active,09/26/2019,10:30 - 09/26/2019 11:00, OSLER CIRCLE,
09/26/2019, 2019-06318,THEFT OTHER,THEFT UNDER $50 INC ATTEMPTS ALL OTHERS, Inactive,09/20/2019,11:30-09/21/2019, 3901 LOCUST WALK,RODIN COLLEGE HOUSE (HRN)
09/27/2019, 2019-06337,FRAUD,FRAUD OTHER FRAUDS,Inactive,09/20/2019,11:30-09/21/2019,3333 WALNUT ST,HILL COLLEGE HOUSE
09/27/2019, 2019-06339,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Arrest,09/20/2019,11:30-09/21/2019,4000 SPRUCE ST,"40/SPRUCE, INTERSECTION OF"
09/28/2019, 2019-06354,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER RETAIL THEF,Active,09/28/2019, 8:37 - 09/28/2019 8:37,3925 WALNUT ST,CVS
09/28/2019, 2019-06360,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Active,09/28/2019,11:40 - 09/28/2019 11:58,LEVINE HALL,
09/28/2019, 2019-06372,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 FROM BUILD,Inactive,09/27/2019, 17:10 - 09/27/2019  17:40, 3701 WALNUT ST,POTTRUCK CENTER
09/29/2019, 2019-06382,FRAUD,FRAUD OTHER FRAUDS, Active,09/29/2019, 1:01 - 09/29/2019 1:15,4000 SPRUCE ST,COPA BANANA
09/29/2019, 2019-06384, BURGLARY,BURGLARY RES/NIGHT/NO FORCE 6PM - 6AM APART HOUSE,Active,09/28/2019, 20:00 -,4103 LOCUST ST,
09/29/2019, 2019-06392,SEX OFFENSE,RAPE FORCIBLE RAPE, Active,09/28/2019,22:00 - 09/28/2019 23:00,QUADRANGLE,
09/29/2019, 2019-06402,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,09/20/2019,11:30-09/21/2019,51 N 39TH ST,PRESBYTERIAN HOSPITAL
09/29/2019, 2019-06405,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,09/20/2019,11:30-09/21/2019, 3620 WALNUT ST,ANNENBERG SCHOOL
09/29/2019, 2019-06411,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Exceptionally Cleared,09/21/2019, 18:00 - 09/22/2019  2:00,3611 WALNUT ST,LOUIE LOUIE RESTAURANT
09/29/2019, 2019-06418,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Active,09/29/2019,22:47 - 09/29/2019 23:09,Baby Blues BBQ,
09/30/2019, 2019-06420,ASSAULT DOMESTIC, ASSAULT-DOMESTIC, Arrest,09/30/2019, 2:35 - 09/30/2019 2:58,3900 WALNUT ST,3900 BLOCK OF WALNUT
09/30/2019, 2019-06422,ASSAULT,OTHER ASSAULTS ASSAULT, Arrest,09/20/2019,11:30-09/21/2019, 3900 WALNUT ST,3900 BLOCK OF WALNUT
09/28/2019, 2019-06428,AGG ASSAULT/DATING, AGG ASSAULT DOMESTIC/DATING VIOLENCE, Arrest,09/20/2019,11:30-09/21/2019, 3000 LUDLOW ST,Ludlow St
09/30/2019, 2019-06430,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Arrest,09/20/2019,11:30-09/21/2019, 3101 WALNUT ST,FACILITIES DEPARTMENT
09/30/2019, 2019-06432,VANDALISM,VANDALISM/CRIMINAL MISCHIEF PRI PROP 500 TO 999.99, Active,09/20/2019,11:30-09/21/2019, 3815 WALNUT ST,SCHOOL OF SOCIAL POLICY AND P
09/30/2019, 2019-06443,VANDALISM,VANDALISM/CRIMINAL MISCHIEF PUBLIC UTILITIES/SERVI, Active,09/30/2019, 15:01 - 09/30/2019  15:13, 3930 CHESTNUT ST,HUP OFFICES
09/30/2019, 2019-06451,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 ALL OTHERS, Arrest,09/30/2019,22:10 - 09/30/2019 22:10,FACILITIES DEPARTMENT,
10/01/2019, 2019-06467,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,09/24/2019, 17:00 - 10/01/2019  16:00, 220 S 33RD ST, TOWNE BUILDING
10/01/2019, 2019-06469,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Active,10/01/2019, 9:40 - 10/01/2019 16:40, 3700 HAMILTON WALK,3700 BLOCK OF HAMILTON WALK
10/02/2019, 2019-06481, OTHER OFFENSE, OTHER OFFENSES DEFIANT TRESPASS,Arrest,09/20/2019,11:30-09/21/2019, 3400 CIVIC CENTER BLVD,PERELMAN CENTER FOR ADVANC
10/03/2019, 2019-06508,FRAUD,FRAUD OTHER FRAUDS, Unfounded,09/09/2019,0:00-10/03/2019,4017 BALTIMORE,4017 BALTIMORE
10/03/2019, 2019-06515,FRAUD,FRAUD OTHER FRAUDS, Active,10/01/2019,22:12 - 10/03/2019 11:51,HOMEWOOD SUITES,
10/03/2019, 2019-06524,ASSAULT,OTHER ASSAULTS ASSAULT, Inactive,10/03/2019, 17:38 - 10/03/2019  17:50, 3400 WALNUT ST,"34/WALNUT, INTERSECTION OF"
10/03/2019, 2019-06526,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 RETAIL, Active,10/03/2019, 18:30 - 10/03/2019  19:22, 138 S 34TH ST, ADEOLPH BIECKER STUDIO/SALON
10/04/2019, 2019-06538,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Inactive,10/02/2019, 19:30 - 10/04/2019  2:00,3335 WOODLAND WALK,Lauder College House
10/04/2019, 2019-06545, AGGRAVATED ASSAULT,AGR ASSAULT OTHER DANGEROUS WEAPON, Active,10/04/2019,10:40 - 10/04/2019 11:04,CONSORTIUM,
10/04/2019, 2019-06564,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 FROM BUILD, Inactive,10/04/2019, 18:55 - 10/04/2019  19:00, 3730 WALNUT ST,HUNTSMAN HALL
10/07/2019, 2019-06632,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 ALL OTHERS, Inactive,09/09/2019,0:00-10/03/2019, 3130 WALNUT ST,CLASS OF 1923 ICE RINK
10/07/2019, 2019-06638,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,09/09/2019,0:00-10/03/2019, 51 N 39TH ST,PRESBYTERIAN HOSPITAL
10/08/2019, 2019-06642,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE, Active,10/07/2019,12:30-10/07/2019, 3711 MARKET, SCIENCE CENTER 3711
10/08/2019, 2019-06643,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Inactive,10/08/2019, 13:00 - 10/08/2019  13:30, 433 UNIVERSITY AVE,LYNCH
10/08/2019, 2019-06647,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS, Active,10/08/2019,12:40-10/08/2019, 231 S 34TH ST, NEW CHEMISTRY
10/08/2019, 2019-06650,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $200 AND OVER ALL OTHERS,Active,10/08/2019, 16:00 - 10/08/2019  16:48, 3000 CHESTNUT ST,3000 BLOCK OF CHESTNUT
10/08/2019, 2019-06656, AUTO THEFT,AUTO THEFT STOLEN STOLEN AND RECOVERED PRIOR TO,Inactive,10/08/2019, 20:45 - 10/08/2019  21:16, 100 S 30TH ST, 100 BLOCK OF S. 30TH
10/09/2019, 2019-06670,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 FROM BUILD, Inactive,10/08/2019, 13:30 - 10/08/2019  19:00, 202 S 36TH ST, ADDAMS HALL
10/08/2019, 2019-06671, AGGRAVATED ASSAULT,AGR ASSAULT OTHER DANGEROUS WEAPON,Active,10/08/2019,12:40-10/08/2019,3600 WALNUT ST,3600 BLOCK OF WALNUT
10/09/2019, 2019-06672,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Active,10/08/2019, 8:30 - 10/08/2019 20:00, 220 S 33RD ST, TOWNE BUILDING
10/09/2019, 2019-06677,THEFT FROM BUILDING,THEFT UNDER $50 INC ATTEMPTS BUILDINGS,Active,10/08/2019,12:30-10/08/2019, 3340 SMITH WALK, VAGELOS RESEARCH LAB
10/09/2019, 2019-06683,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Inactive,10/08/2019, 16:30 - 10/09/2019  15:30, 4016 SPRUCE ST,SPRUCE
10/10/2019, 2019-06697,RETAIL THEFT, THEFT UNDER $50 INC ATTEMPTS RETAIL THEFT, Arrest,10/08/2019,12:30-10/08/2019, 3409 WALNUT ST,CVS
10/10/2019, 2019-06707,FRAUD,FRAUD FALSE PRETENSE,Arrest,06/16/2019,0:00 -,UNIVERSITY CITY SHERATON,
10/10/2019, 2019-06708,FRAUD,FORGERY AND COUNTERFEITING COUNTERFEITING, Active,10/08/2019,12:30-10/08/2019,3600 CIVIC CENTER BLVD,GARAGE 3600
10/10/2019, 2019-06712,FRAUD,FORGERY AND COUNTERFEITING COUNTERFEITING, Active,10/08/2019,12:30-10/08/2019,3025 WALNUT ST,WXPN
10/11/2019, 2019-06721, THEFT FROM VEHICLE,THEFT UNDER $50 INC ATTEMPTS MOTOR VEHICLE TAGS, Inactive,10/10/2019, 18:45 - 10/11/2019  7:16,200 S 33RD ST, 200 BLOCK OF S. 33RD
10/11/2019, 2019-06723,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER RETAIL THEF,Active,10/11/2019,10:35 - 10/11/2019 10:35, ANN TAYLOR,
10/11/2019, 2019-06726,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 RETAIL,Arrest,10/11/2019, 14:08 - 10/11/2019  14:08, 3925 WALNUT ST,CVS
10/11/2019, 2019-06731,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 ALL OTHERS,Arrest,10/08/2019,12:30-10/08/2019  17:15, 4205 PINE ST,
10/11/2019, 2019-06733,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 BICYCLE, Active,10/10/2019, 7:00 - 10/10/2019 20:00, 3400 CIVIC CENTER BLVD,PERELMAN CENTER FOR ADVANC
10/11/2019, 2019-06736,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Active,10/11/2019, 16:00 - 10/11/2019  20:00, 100 S 40TH ST, 100 BLOCK OF S. 40TH
10/12/2019, 2019-06741,VANDALISM,VANDALISM/CRIMINAL MISCHIEF PRI PROP UNDER 500,Arrest,10/08/2019,12:30-10/08/2019, 100 S 39TH ST, 100 BLOCK OF S. 39TH
10/12/2019, 2019-06744,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $50 TO $199.99 RETAIL,Active,10/12/2019,12:37 -,CVS,
10/12/2019, 2019-06748,VANDALISM,VANDALISM/CRIMINAL MISCHIEF PUBLIC UTILITIES/SERVI,Inactive,10/08/2019,12:30-10/08/2019,318 S 40TH ST, FIJI Tropic
10/13/2019, 2019-06760,ASSAULT,OTHER ASSAULTS ASSAULT,Active,10/13/2019,11:13 - 10/13/2019 11:49,HOSPITAL OF THE UNIV. OF PENN,
10/12/2019, 2019-06777,ASSAULT DOMESTIC, ASSAULT-DOMESTIC,Active,10/08/2019,12:30-10/08/2019,51 N 39TH ST,PRESBYTERIAN HOSPITAL
10/14/2019, 2019-06785,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $200 AND OVER ALL OTHERS, Inactive,10/12/2019,11:17-10/13/2019, 4038 SANSOM ST,4038 SANSOM
10/14/2019, 2019-06787,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Arrest,10/13/2019, 19:00 - 10/14/2019  7:00,231 S 34TH ST, NEW CHEMISTRY
10/14/2019, 2019-06793,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Arrest,10/11/2019, 17:00 - 10/14/2019  6:30,3910 POWELTON AVE, POWELTON-PRESY SCL NURSING
10/14/2019, 2019-06796,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,10/14/2019, 19:01 - 10/14/2019  19:22, 3420 WALNUT ST,VAN PELT LIBRARY
10/14/2019, 2019-06798,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,10/12/2019,11:17-10/13/2019,3333 WALNUT ST,HILL COLLEGE HOUSE
10/15/2019, 2019-06804,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $50 TO $199.99 FROM BUILD,Inactive,10/14/2019, 14:10 - 10/15/2019  2:10,400 S 40TH ST, LUNA ON PINE
10/15/2019, 2019-06805,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Inactive,10/15/2019, 1:30 - 10/15/2019 8:50,3901 LOCUST WALK,RODIN COLLEGE HOUSE (HRN)
10/15/2019, 2019-06809,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $200 AND OVER ALL OTHERS, Inactive,10/15/2019,11:40 - 10/15/2019 11:45,4000 BLOCK OF WALNUT,
10/15/2019, 2019-06823,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,10/12/2019,11:17-10/13/2019, 3411 CHESTNUT ST,DOMUS APARTMENTS
10/16/2019, 2019-06828,THEFT OTHER,THEFT EXCEPT AUTO THEFTS $200 AND OVER ALL OTHERS, Arrest,10/16/2019, 1:37 - 10/16/2019 1:41,51 N 39TH ST,PRESBYTERIAN HOSPITAL
10/16/2019, 2019-06835,THEFT FROM BUILDING,THEFT EXCEPT AUTO THEFTS $200 AND OVER BUILDINGS,Inactive,10/12/2019,11:17-10/13/2019,3420 WALNUT ST,VAN PELT LIBRARY
10/16/2019, 2019-06836,THEFT FROM BUILDING,THEFT UNDER $50 INC ATTEMPTS BUILDINGS,Active,10/15/2019, 13:49 - 10/16/2019  14:32, 3411 CHESTNUT ST,DOMUS APARTMENTS
10/16/2019, 2019-06854,BIKE THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER BICYCLE,Inactive,10/16/2019,22:00 - 10/17/2019 22:30, WILLIAMS HALL,
10/17/2019, 2019-06860,RETAIL THEFT, THEFT EXCEPT AUTO THEFTS $200 AND OVER RETAIL THEF, Active,10/17/2019, 9:31 - 10/17/2019 9:53,120 S 36TH ST, ANN TAYLOR
